Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Encapsulation (ms),Encap Std (ms),Decapsulation (ms),Decap Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Ciphertext Size (bytes),Shared Secret Size (bytes),Family
BIKE-L1,Post-Quantum,1,0.15543866157531738,0.007343714685643022,0.03240084648132324,0.002658455883563978,0.31170034408569336,0.014389200330698893,1541,0,1573,32,BIKE
BIKE-L3,Post-Quantum,3,0.42932939529418945,0.02311331494578684,0.06645798683166504,0.004051249965167673,0.9006326198577881,0.04189311549937702,3083,0,3115,32,BIKE
BIKE-L5,Post-Quantum,5,1.0736069679260254,0.05916011164537845,0.13141584396362305,0.009438915353550851,2.515033483505249,0.0991457160417789,5122,0,5154,32,BIKE
Classic-McEliece-348864,Post-Quantum,1,31.510261535644535,7.332841777930406,0.04532933235168457,0.012603252103417204,0.0421595573425293,0.004939058821783639,261120,0,96,32,Classic
Classic-McEliece-348864f,Post-Quantum,1,25.4741268157959,0.9825471908902927,0.04630637168884277,0.014635944050389552,0.04199409484863281,0.005421375865497236,261120,0,96,32,Classic
Classic-McEliece-460896,Post-Quantum,3,110.67712140083313,36.58655417562088,0.10399889945983887,0.014530844294547563,0.07587242126464844,0.00600637008452839,524160,0,156,32,Classic
Classic-McEliece-460896f,Post-Quantum,3,77.61429858207703,1.9714396622443247,0.09893226623535156,0.014730289564019509,0.0761270523071289,0.004921031090119138,524160,0,156,32,Classic
Classic-McEliece-6688128,Post-Quantum,5,148.08687901496887,50.671565202904624,0.17480063438415527,0.021259905299122386,0.08767294883728027,0.0075290627020684255,1044992,0,208,32,Classic
Classic-McEliece-6688128f,Post-Quantum,5,105.52408576011658,2.400101082477354,0.17360734939575195,0.01870613355126262,0.08789658546447754,0.008300736460796081,1044992,0,208,32,Classic
Classic-McEliece-6960119,Post-Quantum,5,129.72445225715637,37.42516792833905,0.17303252220153809,0.015797631961132385,0.08226895332336426,0.006598155151279905,1047319,0,194,32,Classic
Classic-McEliece-6960119f,Post-Quantum,5,99.18183374404907,2.5219763973934035,0.17206287384033203,0.0157639655478221,0.08304524421691895,0.0067151663033699445,1047319,0,194,32,Classic
Classic-McEliece-8192128,Post-Quantum,5,178.9929747581482,67.12713353858132,0.2110881805419922,0.018185166053272278,0.08760333061218262,0.006175095394993968,1357824,0,208,32,Classic
Classic-McEliece-8192128f,Post-Quantum,5,113.74295139312744,2.672137565169801,0.2087080478668213,0.017645959303680958,0.08763432502746582,0.0066694834006759485,1357824,0,208,32,Classic
FrodoKEM-1344-AES,Post-Quantum,5,0.8310794830322266,0.022099282904839024,1.0566511154174805,0.029100226473972826,1.017871618270874,0.027449844343917548,21520,0,21632,32,FrodoKEM
FrodoKEM-1344-SHAKE,Post-Quantum,5,2.9196577072143555,0.09022460947494859,3.1165449619293213,0.09160705777378818,3.0913290977478027,0.0864152378867024,21520,0,21632,32,FrodoKEM
FrodoKEM-640-AES,Post-Quantum,1,0.24271273612976074,0.007672304241013576,0.3291957378387451,0.010395211338292437,0.3132340908050537,0.009428960769747021,9616,0,9720,16,FrodoKEM
FrodoKEM-640-SHAKE,Post-Quantum,1,0.7757818698883057,0.06883930973603473,0.8557305335998535,0.0763820833349331,0.8379421234130859,0.0723418620436613,9616,0,9720,16,FrodoKEM
FrodoKEM-976-AES,Post-Quantum,3,0.4613649845123291,0.024708581625168174,0.6377880573272705,0.0281102209025392,0.6103498935699463,0.026684726085715264,15632,0,15744,24,FrodoKEM
FrodoKEM-976-SHAKE,Post-Quantum,3,1.6275017261505127,0.03883645808614501,1.7619011402130127,0.041293528279099045,1.7328016757965088,0.0403250463121207,15632,0,15744,24,FrodoKEM
HQC-128,Post-Quantum,1,1.3514814376831055,0.04142914206313127,2.726301908493042,0.04897992702156633,4.113253593444824,0.0872125099910379,2249,0,4433,64,HQC
HQC-192,Post-Quantum,3,4.148183345794678,0.18892629817402054,8.315951824188232,0.3028056397804186,12.53472089767456,0.4526520251019692,4522,0,8978,64,HQC
HQC-256,Post-Quantum,5,7.548127889633179,0.3327078245273288,15.154983758926392,0.6665895881216587,22.846041202545166,0.787838733877382,7245,0,14421,64,HQC
Kyber1024,Post-Quantum,5,0.018836021423339844,0.00184188165063775,0.02249288558959961,0.0016494884934838603,0.01734757423400879,0.0016302998807090612,1568,0,1568,32,Kyber1024
Kyber512,Post-Quantum,1,0.00998830795288086,0.001220385595836488,0.011997699737548828,0.001192148111971949,0.008565902709960938,0.0009389217879691584,800,0,768,32,Kyber512
Kyber768,Post-Quantum,3,0.013998985290527344,0.001351211798544692,0.01656341552734375,0.001559687913759273,0.012290000915527344,0.0010673511701445688,1184,0,1088,32,Kyber768
ML-KEM-1024,Post-Quantum,5,0.017195701599121094,0.0017569787064584503,0.017841577529907227,0.0017631873781694175,0.016209125518798828,0.0013194223754056204,1568,0,1568,32,ML
ML-KEM-512,Post-Quantum,1,0.008991241455078125,0.0012059610502770102,0.009666919708251953,0.001243436528005105,0.008095979690551758,0.0008258769679964948,800,0,768,32,ML
ML-KEM-768,Post-Quantum,3,0.013787031173706055,0.001854447096452946,0.014170408248901367,0.0016856678297472569,0.012520790100097656,0.001503242735381526,1184,0,1088,32,ML
sntrup761,Post-Quantum,2,0.19663572311401367,0.025848008711463016,0.014363288879394531,0.0027665028425077147,0.01458120346069336,0.0021522878012911997,1158,0,1039,32,sntrup761
RSA-2048,Classical,1,35.84029030799866,21.549615379073632,0.06012105941772461,0.016378100810728626,0.5082488059997559,0.03080373900957116,294,0,256,32,RSA
RSA-3072,Classical,3,133.587256193161,82.8077943540547,0.09209465980529785,0.010584271788387488,1.1575713157653809,0.05893347686573805,422,0,384,32,RSA
RSA-4096,Classical,5,377.877313375473,256.18958433688465,0.12290763854980467,0.010639095784691171,2.139425277709961,0.08445085267658424,550,0,512,32,RSA
ECDH-256,Classical,1,0.01523280143737793,0.003275155587219578,0.06478166580200195,0.004019105116034322,0.06316471099853516,0.0039515919658342806,91,0,91,32,ECDH
ECDH-384,Classical,3,0.1199038028717041,0.008422736317291688,0.3130323886871338,0.015500143196765489,0.3114628791809082,0.016650319727166997,120,0,120,48,ECDH
ECDH-521,Classical,5,0.11318659782409668,0.010216509802567513,0.2799091339111328,0.022870202531565086,0.2789790630340576,0.023109316352055043,158,0,158,66,ECDH
